Name,Class,Role,Tier,Score,Trend,win_rate,role_rate,pick_rate,ban_rate,KDA,,correlation for win/pick,correlation for win/ban,correlation for pick/ban
Aatrox,Fighter,TOP,God,89.5,0.31,0.501,0.9037,0.0985,0.208,1.9,,0.044849355,0.026999143,0.523560067
Ahri,Mage,MID,A,52.62,-2.26,0.4964,0.9171,0.0537,0.0228,2.4,,,,
Akali,Assassin,MID,S,61.16,-4.15,0.4846,0.7548,0.0939,0.1586,2.3,,,,
Akali,Assassin,TOP,B,41.14,-1.83,0.4546,0.2339,0.0295,0.1586,1.98,,,,
Akshan,Marksman,MID,A,49.05,-0.97,0.5155,0.6406,0.0249,0.0387,2.18,,,,
Akshan,Marksman,TOP,B,41.96,-0.32,0.5155,0.2506,0.0088,0.0387,1.97,,,,
Alistar,Tank,SUPPORT,B,44.24,1.74,0.4949,0.948,0.0263,0.0066,2.38,,,,
Amumu,Tank,SUPPORT,A,51.53,1.56,0.5194,0.6441,0.0358,0.0307,2.12,,,,
Amumu,Tank,JUNGLE,C,40.62,3.33,0.5155,0.3352,0.021,0.0307,2.68,,,,
Anivia,Mage,MID,A,50.12,-0.46,0.5153,0.7609,0.0192,0.0178,2.69,,,,
Anivia,Mage,SUPPORT,C,34.25,-0.71,0.4866,0.169,0.0041,0.0177,2.22,,,,
Annie,Mage,MID,B,44.34,1.4,0.4995,0.756,0.013,0.0049,2.22,,,,
Annie,Mage,SUPPORT,D,26.13,-1.45,0.4547,0.1461,0.0025,0.0054,1.97,,,,
Aphelios,Marksman,ADC,D,29.66,-3.48,0.4675,0.9651,0.0436,0.0077,1.91,,,,
Ashe,Marksman,ADC,A,51.12,-4.79,0.5037,0.6093,0.0769,0.0259,2.31,,,,
Ashe,Marksman,SUPPORT,B,48.49,-0.59,0.4886,0.3565,0.0429,0.0259,2.29,,,,
Aurelion Sol,Mage,MID,B,42.52,-4.14,0.4945,0.8441,0.0074,0.0036,2.23,,,,
Azir,Mage,MID,C,37.89,-2.5,0.4521,0.8701,0.0246,0.0073,1.91,,,,
Bard,Support,SUPPORT,A,49.19,1.29,0.4969,0.9602,0.0318,0.0058,2.96,,,,
Bel'Veth,Fighter,JUNGLE,A,53.34,-4.33,0.512,0.9305,0.0415,0.1223,2.35,,,,
Blitzcrank,Tank,SUPPORT,S,67.25,-1.21,0.5087,0.9553,0.0695,0.1893,2.38,,,,
Brand,Mage,SUPPORT,A,51.81,-0.72,0.5106,0.7728,0.0435,0.0549,1.86,,,,
Brand,Mage,MID,B,41.94,-3.46,0.4974,0.1323,0.0078,0.0549,1.96,,,,
Braum,Support,SUPPORT,B,40.9,-0.23,0.4902,0.9671,0.0173,0.0033,2.53,,,,
Caitlyn,Marksman,ADC,God,91.95,-0.48,0.4998,0.9732,0.1888,0.1815,2.19,,,,
Camille,Fighter,TOP,S,59.25,-3.21,0.501,0.872,0.0543,0.0249,1.93,,,,
Cassiopeia,Mage,MID,B,44.68,0.83,0.5026,0.7385,0.0164,0.014,2.04,,,,
Cassiopeia,Mage,TOP,B,41.86,5.58,0.5322,0.1297,0.0028,0.014,1.87,,,,
Cassiopeia,Mage,ADC,D,29.96,-4.81,0.5101,0.1099,0.0023,0.0143,2.17,,,,
Cho'Gath,Tank,MID,B,46.94,5.72,0.5215,0.198,0.006,0.012,2.34,,,,
Cho'Gath,Tank,TOP,B,45.87,-3.55,0.4966,0.6201,0.0254,0.012,2.04,,,,
Corki,Marksman,MID,B,43.17,1.76,0.4966,0.8689,0.01,0.0024,2.19,,,,
Darius,Fighter,TOP,God,84.98,5.89,0.5043,0.9116,0.0869,0.2339,1.86,,,,
Diana,Fighter,JUNGLE,God,75.15,19.36,0.5225,0.7128,0.0734,0.0453,2.53,,,,
Diana,Fighter,MID,A,48.95,4.89,0.5155,0.2545,0.0259,0.0453,2.11,,,,
Dr. Mundo,Marksman,TOP,God,87.33,31.8,0.5435,0.7554,0.0859,0.1319,2,,,,
Dr. Mundo,Marksman,JUNGLE,B,47.88,-1.01,0.5362,0.1922,0.0201,0.1319,2.86,,,,
Draven,Fighter,ADC,A,51.88,3.66,0.5086,0.9507,0.0661,0.1989,2.08,,,,
Ekko,Assassin,JUNGLE,S,70.5,5.41,0.5147,0.6832,0.0658,0.0558,2.79,,,,
Ekko,Assassin,MID,A,49.66,2.61,0.5114,0.2882,0.028,0.0558,2.3,,,,
Elise,Mage,JUNGLE,A,53.18,2.01,0.5179,0.9373,0.0385,0.0329,2.79,,,,
Evelynn,Assassin,JUNGLE,S,58.89,-2.16,0.5064,0.9735,0.0483,0.0747,2.97,,,,
Ezreal,Marksman,ADC,God,78.95,-4.21,0.4864,0.9454,0.184,0.0391,2.35,,,,
Fiddlesticks,Mage,JUNGLE,B,48.15,0.74,0.5215,0.8012,0.0297,0.0191,2.79,,,,
Fiddlesticks,Mage,SUPPORT,C,37.21,1.34,0.5034,0.1363,0.0044,0.0188,2.1,,,,
Fiora,Fighter,TOP,God,91.89,-0.98,0.5151,0.9695,0.0893,0.2691,1.74,,,,
Fizz,Assassin,MID,A,50.6,2.76,0.5106,0.9361,0.0323,0.0419,2.36,,,,
Galio,Tank,MID,A,50.83,3.71,0.5233,0.7736,0.0185,0.0035,2.62,,,,
Galio,Tank,SUPPORT,C,37.15,3.47,0.4994,0.1899,0.0045,0.0036,2.26,,,,
Gangplank,Fighter,TOP,S,66.24,6.23,0.4944,0.814,0.0704,0.0503,1.95,,,,
Gangplank,Fighter,MID,A,49.1,2.66,0.5249,0.1704,0.0161,0.0503,2.25,,,,
Garen,Fighter,TOP,S,57.26,2.96,0.5016,0.8298,0.0485,0.0184,2.03,,,,
Gnar,Fighter,TOP,B,41.36,-2.09,0.486,0.9385,0.0232,0.0048,1.83,,,,
Gragas,Fighter,MID,B,45.21,4.48,0.506,0.1659,0.0075,0.0041,2.43,,,,
Gragas,Fighter,TOP,C,37.87,-2.63,0.4708,0.4277,0.019,0.0041,2.06,,,,
Gragas,Fighter,SUPPORT,C,33.66,6.71,0.4837,0.1061,0.0045,0.0041,2.19,,,,
Gragas,Fighter,JUNGLE,C,33.32,-2.19,0.5018,0.2893,0.0126,0.0041,2.93,,,,
Graves,Marksman,JUNGLE,S,60.4,-8.15,0.4919,0.8392,0.0607,0.0521,2.6,,,,
Gwen,Fighter,TOP,B,47.51,-0.57,0.5034,0.8039,0.0301,0.0099,1.76,,,,
Gwen,Fighter,JUNGLE,D,20.03,-17.08,0.4821,0.1326,0.0047,0.0099,2.37,,,,
Hecarim,Fighter,JUNGLE,God,78.33,-12.64,0.4933,0.9826,0.0692,0.2427,2.6,,,,
Heimerdinger,Mage,SUPPORT,A,53.24,0.81,0.5241,0.6372,0.0367,0.0709,2.07,,,,
Heimerdinger,Mage,MID,A,48.96,-0.23,0.5371,0.1681,0.0102,0.0709,2.05,,,,
Heimerdinger,Mage,TOP,C,35.54,-4.26,0.4977,0.1094,0.0065,0.0709,1.68,,,,
Illaoi,Fighter,TOP,A,53.69,0.83,0.5111,0.9057,0.041,0.0731,1.48,,,,
Irelia,Fighter,TOP,S,59.83,6.55,0.4983,0.4565,0.0536,0.1348,1.68,,,,
Irelia,Fighter,MID,A,54.88,0.56,0.5095,0.5211,0.06,0.1348,1.84,,,,
Ivern,Support,JUNGLE,C,33.36,-1.09,0.4995,0.7442,0.01,0.0047,3.29,,,,
Ivern,Support,SUPPORT,D,29.27,-2.77,0.4606,0.168,0.0022,0.0045,2.42,,,,
Janna,Support,SUPPORT,S,62.44,-1.88,0.5276,0.9803,0.0495,0.0195,3.12,,,,
Jarvan IV,Tank,JUNGLE,C,37.87,-10.5,0.5038,0.8341,0.0172,0.0021,3.13,,,,
Jax,Fighter,TOP,S,65.52,-3.27,0.5105,0.8158,0.0633,0.0805,1.71,,,,
Jax,Fighter,JUNGLE,D,24.74,-15.68,0.4836,0.1522,0.013,0.0766,2.16,,,,
Jayce,Fighter,MID,B,45.37,1.1,0.5164,0.2036,0.0051,0.0029,2.21,,,,
Jayce,Fighter,TOP,B,40.75,0.24,0.4907,0.7597,0.0204,0.0029,1.78,,,,
Jhin,Marksman,ADC,God,79.3,0.86,0.5141,0.9271,0.1493,0.0387,2.87,,,,
Jinx,Marksman,ADC,A,50.98,-1.24,0.505,0.979,0.0796,0.0088,2.2,,,,
K'Sante,Fighter,TOP,God,77.42,1.73,0.4894,0.9011,0.0818,0.1565,2.03,,,,
Kai'Sa,Marksman,ADC,God,83.73,-7.26,0.507,0.9661,0.1808,0.0491,2.39,,,,
Kalista,Marksman,ADC,D,30.23,-2.76,0.4805,0.9158,0.028,0.0088,2.16,,,,
Karma,Mage,SUPPORT,S,62.44,-0.24,0.4925,0.8394,0.0758,0.0233,2.65,,,,
Karthus,Mage,MID,B,45.53,2.61,0.519,0.1268,0.0034,0.0129,2.23,,,,
Karthus,Mage,ADC,C,35.29,-4.4,0.5261,0.239,0.0069,0.0129,2.2,,,,
Karthus,Mage,JUNGLE,D,27.93,-11.63,0.4871,0.5388,0.0142,0.0129,2.49,,,,
Kassadin,Assassin,MID,S,62.01,7.71,0.5261,0.9664,0.0669,0.1102,2.56,,,,
Katarina,Assassin,MID,S,58.91,-1.25,0.4899,0.9319,0.0874,0.0961,2.25,,,,
Kayle,Fighter,MID,B,45.36,0.59,0.5179,0.1708,0.0046,0.0058,2.18,,,,
Kayle,Fighter,TOP,B,44.33,-1.85,0.4978,0.7788,0.0256,0.0058,1.76,,,,
Kayn,Fighter,JUNGLE,God,77.24,0.74,0.4911,0.959,0.0867,0.079,2.44,,,,
Kennen,Mage,MID,B,44.54,0.75,0.5116,0.1746,0.0027,0.0034,2.29,,,,
Kennen,Mage,TOP,C,35.01,-2.26,0.4773,0.7387,0.0115,0.0039,1.92,,,,
Kha'Zix,Assassin,JUNGLE,A,56.36,-2.43,0.5032,0.973,0.0519,0.0231,2.61,,,,
