name,role,win_rate,pick_rate,category
Qiyana,JUNGLE,0.4206,0.0051,balanced
Malphite,SUPPORT,0.4491,0.0072,balanced
Azir,MID,0.4521,0.0246,balanced
Akali,TOP,0.4546,0.0295,balanced
Annie,SUPPORT,0.4547,0.0025,balanced
Veigar,SUPPORT,0.4597,0.0066,balanced
Ivern,SUPPORT,0.4606,0.0022,balanced
Ryze,MID,0.4623,0.0283,balanced
Rumble,JUNGLE,0.4655,0.0028,balanced
Rumble,TOP,0.4656,0.0091,balanced
Lee Sin,JUNGLE,0.4657,0.0916,low win / high pick
Qiyana,MID,0.4667,0.0296,balanced
Aphelios,ADC,0.4675,0.0436,balanced
Twisted Fate,MID,0.4694,0.019,balanced
Gragas,TOP,0.4708,0.019,balanced
Vladimir,TOP,0.4723,0.0091,balanced
Volibear,TOP,0.4723,0.0205,balanced
Ryze,TOP,0.4726,0.0046,balanced
Nidalee,JUNGLE,0.4729,0.0253,balanced
Tahm Kench,TOP,0.4744,0.0237,balanced
Trundle,TOP,0.4744,0.0064,balanced
Zoe,SUPPORT,0.4747,0.005,balanced
Shen,SUPPORT,0.4755,0.0051,balanced
Zed,JUNGLE,0.4756,0.0354,balanced
Kennen,TOP,0.4773,0.0115,balanced
LeBlanc,MID,0.478,0.0325,balanced
Rengar,JUNGLE,0.4794,0.0417,balanced
Yuumi,SUPPORT,0.4794,0.103,low win / high pick
Yasuo,TOP,0.4799,0.0282,balanced
Sion,TOP,0.48,0.0384,balanced
Kalista,ADC,0.4805,0.028,balanced
Talon,JUNGLE,0.4812,0.0131,balanced
Shyvana,TOP,0.4815,0.0027,balanced
Zoe,MID,0.4815,0.0319,balanced
Gwen,JUNGLE,0.4821,0.0047,balanced
Ziggs,SUPPORT,0.4821,0.0033,balanced
Rek'Sai,JUNGLE,0.4822,0.0143,balanced
Pantheon,SUPPORT,0.4823,0.0249,balanced
Taliyah,SUPPORT,0.4825,0.0024,balanced
Jax,JUNGLE,0.4836,0.013,balanced
Gragas,SUPPORT,0.4837,0.0045,balanced
Varus,MID,0.4837,0.0234,balanced
Poppy,SUPPORT,0.4844,0.0024,balanced
Akali,MID,0.4846,0.0939,balanced
Taliyah,JUNGLE,0.485,0.0082,balanced
Shaco,JUNGLE,0.4855,0.0665,balanced
Gnar,TOP,0.486,0.0232,balanced
Poppy,JUNGLE,0.4863,0.0128,balanced
Ezreal,ADC,0.4864,0.184,balanced
Anivia,SUPPORT,0.4866,0.0041,balanced
Riven,TOP,0.4866,0.0447,balanced
Karthus,JUNGLE,0.4871,0.0142,balanced
Rengar,TOP,0.488,0.0111,balanced
Yone,TOP,0.488,0.0462,balanced
Nunu,JUNGLE,0.4884,0.0344,balanced
Senna,SUPPORT,0.4884,0.0629,balanced
Ashe,SUPPORT,0.4886,0.0429,balanced
Pyke,SUPPORT,0.4887,0.0909,balanced
K'Sante,TOP,0.4894,0.0818,balanced
Thresh,SUPPORT,0.4898,0.092,balanced
Katarina,MID,0.4899,0.0874,balanced
Vayne,TOP,0.4901,0.0146,balanced
Braum,SUPPORT,0.4902,0.0173,balanced
Renekton,TOP,0.4906,0.0374,balanced
Jayce,TOP,0.4907,0.0204,balanced
Tahm Kench,SUPPORT,0.491,0.0089,balanced
Kayn,JUNGLE,0.4911,0.0867,balanced
Graves,JUNGLE,0.4919,0.0607,balanced
Karma,SUPPORT,0.4925,0.0758,balanced
Hecarim,JUNGLE,0.4933,0.0692,balanced
Yasuo,MID,0.4939,0.1259,balanced
Gangplank,TOP,0.4944,0.0704,balanced
Lissandra,MID,0.4944,0.0203,balanced
Aurelion Sol,MID,0.4945,0.0074,balanced
Sivir,ADC,0.4945,0.0354,balanced
Alistar,SUPPORT,0.4949,0.0263,balanced
Syndra,MID,0.4951,0.0611,balanced
Twitch,SUPPORT,0.4957,0.021,balanced
Viego,JUNGLE,0.4958,0.0747,balanced
Orianna,MID,0.4961,0.0168,balanced
Ahri,MID,0.4964,0.0537,balanced
Malphite,TOP,0.4965,0.0279,balanced
Cho'Gath,TOP,0.4966,0.0254,balanced
Corki,MID,0.4966,0.01,balanced
Bard,SUPPORT,0.4969,0.0318,balanced
Sejuani,TOP,0.4973,0.0074,balanced
Vladimir,MID,0.4973,0.0366,balanced
Brand,MID,0.4974,0.0078,balanced
Heimerdinger,TOP,0.4977,0.0065,balanced
Nautilus,SUPPORT,0.4977,0.0635,balanced
Kayle,TOP,0.4978,0.0256,balanced
Sylas,JUNGLE,0.498,0.0917,balanced
Irelia,TOP,0.4983,0.0536,balanced
Talon,MID,0.4984,0.0343,balanced
Yasuo,ADC,0.4985,0.0206,balanced
Zed,MID,0.4989,0.1243,balanced
Galio,SUPPORT,0.4994,0.0045,balanced
Neeko,SUPPORT,0.4994,0.0081,balanced
Annie,MID,0.4995,0.013,balanced
Ivern,JUNGLE,0.4995,0.01,balanced
Quinn,ADC,0.4996,0.0018,balanced
Caitlyn,ADC,0.4998,0.1888,balanced
Xerath,SUPPORT,0.4999,0.0338,balanced
Rumble,MID,0.5002,0.0108,balanced
Xayah,ADC,0.5002,0.0454,balanced
Urgot,TOP,0.5005,0.0266,balanced
Aatrox,TOP,0.501,0.0985,balanced
Camille,TOP,0.501,0.0543,balanced
Sylas,MID,0.5012,0.0848,balanced
Zilean,SUPPORT,0.5012,0.0336,balanced
Vayne,ADC,0.5013,0.0758,balanced
Garen,TOP,0.5016,0.0485,balanced
Seraphine,SUPPORT,0.5016,0.0472,balanced
Taliyah,MID,0.5016,0.0098,balanced
Lucian,ADC,0.5017,0.0975,balanced
Gragas,JUNGLE,0.5018,0.0126,balanced
Veigar,ADC,0.502,0.0078,balanced
Skarner,TOP,0.5023,0.0015,balanced
Cassiopeia,MID,0.5026,0.0164,balanced
Sett,TOP,0.5026,0.0818,balanced
Kha'Zix,JUNGLE,0.5032,0.0519,balanced
Pantheon,TOP,0.5033,0.0144,balanced
Fiddlesticks,SUPPORT,0.5034,0.0044,balanced
Gwen,TOP,0.5034,0.0301,balanced
Ashe,ADC,0.5037,0.0769,balanced
Xerath,MID,0.5037,0.0111,balanced
Jarvan IV,JUNGLE,0.5038,0.0172,balanced
